,sentences
70,  உலகின் அனேக நாடுகளில் ஒன்றுக்கு மேற்பட்ட மொழிகள் வழக்கில் இருக்கின்றன எ.கா இந்தியா இலங்கை கனடா சிங்கப்பூர் 
71,  பண்பாடு நல்ல தமிழ்ச் சொல் மட்டுமல்ல பொருள் நிறைந்த சொல்லும் கூட 
72,  கி.மு தனிக் கட்டுரையாக இருக்க வேண்டும் 
73,  இது த.வி முன் இருக்கும் ஒரு முக்கிய பணி 
74,  நிரோ உங்கள் ஊக்கம் மிகுந்த மகிழ்ச்சி அளிக்கிறது 
75,  சிறு வயது முதல் இலக்கிய ஈடுபாடு கொண்டவர் 
76,  கிருஷ்ணன் பஞ்சு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் விஜயகுமார் கே. ஆர். விஜயா மற்றும் பலரும் நடித்துள்ளனர் 
77,  கீழ் காணும் துறைகள் இதில் அடங்கும் ஆனால் இவை மட்டுமே அல்ல 
78,  செயற்கை என்பது இங்கு தேவை இல்லை 
79,  ஆரம்பத்தில் தலித் இலக்கியம் குறித்த நம்பிக்கைகள் இருந்தன 
80,  தொழிலாளர்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
81,  கல்வெட்டுகள் இருந்தால் இன்னும் துல்லியமாக சில அறியலாம் 
82,  அங்கிருந்து படங்கள் இணைப்புகள் ஆகியவற்றை எளிமையாக வெட்டி இங்கு ஒட்டி விடலாம் 
83,  சம்பந்தர் அப்பர் சுந்தரர் மூவரதும் பாடல் பெற்ற இத்தலம் தஞ்சாவூர் மாவட்டத்தில் அமைந்துள்ளது 
84,  முத்துராமன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கமல்ஹாசன் ஸ்ரீபிரியா மற்றும் பலரும் நடித்துள்ளனர் 
85,  டெரன்ஸ் நாட்டார் பாடல் கட்டுரை ஓரளவு நல்ல நிலையில் உள்ளது 
86,  தனித்தமிழ் இயக்கத்தின் தோற்றம் அவசியம் வளர்ச்சி தற்போதைய நிலை ஆகியவற்றை விரிவாக எழுதலாம் 
87,  சலீல் சௌதுரி அதற்கு முக்கியமான முன்னோடி 
88,  கிருஷ்ணன் பஞ்சு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் முத்துராமன் லக்ஸ்மி மற்றும் பலரும் நடித்துள்ளனர் 
89,  சந்திரன் வழிபட்ட தலமென்பது தொன்நம்பிக்கை ஐதிகம் 
90,  சக்தி இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரஜினிகாந்த் ஸ்ரீதேவி மற்றும் பலரும் நடித்துள்ளனர் 
91,  தமிழில் ஏற்ற சொற்கள் இருப்பதை இன்றும் வரவேற்கிறேன் 
92,  தமிழ் எழுத்தில் கிரந்த எழுத்துக்கள் அறிஞர் இராம.கி யின் கருத்துக்கள் 
93,  அதற்கு ஏதாவது குறிப்பிட்ட முறை உள்ளதா 
94,  இது தான் சரியான இடமும் கூட 
95,  பல தளங்களில் த.வி அறிமுகம் செய்யப்பட்டு வருகின்றது 
96,  இவன் காலம் கி.பி நூற்றாண்டின் தொடக்கம் ஆகும் 
97,  வேற்று மொழிகளுக்கு அவர்கள் விக்கி உள் இணைப்புகள் ஊடாக செல்ல முடிகின்றது 
98,  குறிப்பாக பெண்கள் இவற்றைப் பயன்படுத்தி அழகு செய்வதில் கூடிய ஈடுபாடு கொண்டுள்ளனர் 
99,  இது ஒரு முழுமையான பட்டியல் அல்ல 
100,  மிகவும் அடிப்படையான தலைப்பு குறித்த கட்டுரை 
101,  அதற்காக இங்கே முடிவுகள் எடுக்க முடியாது தானே 
102,  தமிழ் விக்கிபீடியாவின் இன்றைய நிலை என்ன 
103,  தொழில்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
104,  தொல்லியல் பதிவு என்பது முழுமையான பொருள் தருவதாக இருக்கிறது 
105,  ஐக்கிய அமெரிக்கா மற்றும் ஐக்கிய இராச்சியம் மீது போரை அறிவித்தது 
106,  விஜயன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் பாலாஜி மற்றும் பலரும் நடித்துள்ளனர் 
107,  அதற்கு ஏற்றவாறு மாற்றங்கள் செய்துள்ளேன் 
108,  ஆப்பிரிக்காவில் பாயும் ஓர் ஆறு ஆகும் 
109,  எங்கள் ஊர் ஒரு அமைதி பூங்கா 
110,  கிருஷ்ணன் பஞ்சு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் முத்துராமன் சுஜாதா மற்றும் பலரும் நடித்துள்ளனர் 
111,  இந்தியத் தமிழர்கள் பெரும்பான்மையாக வாழும் ஒரு சில நகரங்களில் இதுவும் ஒன்றாகும் 
112,  சலீல் சௌதுரி அதில் தெளிவாக இருந்தார் 
113,  தங்களின் ஹொங்கொங் கட்டுரை விரிவாக்கம் நன்றாக அமைந்துள்ளது 
114,  ஆஸ்திரேலிய மாநிலங்களில் நான்காவது பெரிய மாநிலமாகும் 
115,  இந்த நிலையில் பலருக்கு உடன்பாடு கிடையாது 
116,  அதுவே பொதுவாகப் பயன்பாட்டில் உள்ளது நல்ல தமிழ்ச் சொல்லும் கூட 
117,  பிரசாத் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் ஏ.நாகேஸ்வர ராவ் மற்றும் பலரும் நடித்துள்ளனர் 
118,  த.வி அனேக கட்டுரைகளில் அதுவே பயன்படுத்தப்படுகிறது 
119,  சோழர் தமிழ் நாட்டில் வலிமை பெற்றிருந்த கி.பி 
120,  விக்கிபீடியாவில் படிப்படியாக அதிகரித்து வரும் உங்கள் ஈடுபாடு கண்டு மகிழ்கிறேன் ரவி 
121,  தமிழர் எவருக்கும் ஒரு மொழி மட்டும் தெரிந்து இருந்தால் அது நல்லதல்ல 
122,  இந்த விடயத்தில் தெளிவாக இருத்தல் நலம் என்பது என் ஆலோசனை 
123,  இது எனது தனிப்பட்ட கருத்து மாத்திரமே 
124,  அவர்கள் பேசும் மொழிகளும் ஒருங்கே திராவிட மொழிகள் என அழைக்கப்படுகின்றன 
125,  தொண்டு நிறுவனங்கள் குறித்த கட்டுரையைத் தொடங்குங்கள் 
126,  தொண்டு நிறுவனங்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
127,  எனினும் தமிழ் நாட்டில் பொது பயன்பாட்டில் இருக்கும் சொல் 
128,  இது அமிதாப புத்தரை நோக்கிய ஒரு பக்தி சார்ந்த பௌத்த பிரிவாகும் 
129,  பிரான்ஸ் நாட்டைச் சேர்ந்த ஓர் ஓவியர் ஆவார் 
130,  நீங்கள் வந்த தேவையை நாங்கள் நிறைவேற்றித் தருகிறோம் என்றனர் 
131,  பாலச்சந்தர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரஜினிகாந்த் கமல்ஹாசன் மற்றும் பலர் நடித்துள்ளனர் 
132,  கிருஷ்ணன் மற்றும் பஞ்சு ஆகியோரின் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெமினி கணேசன் சரோஜா தேவி மற்றும் பலரும் நடித்துள்ளனர் 
133,  புதிதாக ஒரு பக்கம் உருவாக்கலாம். சிவகுமார் 
134,  ஐக்கிய அமெரிக்காவின் கிழக்கு பகுதியில் அமைந்துள்ளது 
135,  ஏற்கனவே பயன்படுத்தப்பட்டு இருக்கும் இடங்களில் நீக்கலாம் 
136,  பீடபூமி என்றுதான் இருக்க வேண்டும் என்று நீங்கள் விரும்பினால் மாற்றி விடுங்கள் 
137,  நல்ல சுட்டி நல்ல கருத்துக்கள் செல்வா 
138,  ஜயா  முத்து இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் எஸ் 
139,  பொது ஊடகங்கள் குறித்த கட்டுரையைத் தொடங்குங்கள் 
140,  எனினும் பல ஆய்வாளர்கள் யாழ்ப்பாண அரசு கி.பி 
141,  செல்வா ஆனால் எல்லா இடங்களிலும் அல்ல 
142,  ஈழத்து இலக்கியம் இலங்கைத் தமிழ் இலக்கியம் ஆகிய இரண்டையும் இணைத்து ஒரு பிரதான கட்டுரை உருவாக்கலாம் 
143,  கோயம்புத்தூர் மாவட்டமும் இம்மாவட்டத்தின் எல்லைகளாக அமைந்துள்ளன 
144,  என்னும் இவருடைய வரிகள் புகழ் பெற்றவை 
145,  நாதன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஆனந்தன் கே. ஆர். விஜயா மற்றும் பலரும் நடித்துள்ளனர்  
146,  தலித் என்பது தெலுங்கு சொல் என்று நினைக்கின்றேன் 
147,  இச்சொல் மிகவும் பரவலான பயன்பாட்டில் இருக்கின்றது 
148,  கோபி உங்களுடைய கருத்தில் ஓரளவு உண்மை இருக்கலாம் 
149,  இது இந்தியாவில் எழுதப்பட்ட பௌத்த சூத்திரம் ஆகும் 
150,  எழுத்தாளர் சுஜாதா கிரிக்கெட் வீரர் எம் 
151,  வேறு ஏதாவது ஒரு களம் ஆகவும் இருக்கலாம் 
152,  இது குறித்த மாற்றத்தை கட்டுரையில் செய்துள்ளேன் 
153,  ஹிந்தி இங்கு பெரும்பான்மையாக பேசப்படும் மொழி 
154,  ஈழத்து இலக்கியம் என்ற பகுப்பு இப்போது விக்கிபீடியாவில் இல்லை 
155,  ரஷ்யக் கூட்டமைப்பின் தற்போதைய தலைவர் ஆவார் 
156,  ஐக்கிய அமெரிக்காவின் வட மேற்குப் பகுதியில் அமைந்துள்ளது 
157,  அவருக்கு மேலும் விளக்கங்கள் அஞ்சல் செய்து இருக்கின்றேன் 
158,  டெரன்ஸ் தமிழ் விக்கிபீடியாவில் உங்களுடைய பங்களிப்பு அதன் வளர்ச்சிக்கு மிகவும் முக்கியமானது 
159,  இப்பக்கத்தை அழிக்க வேண்டாம் என்றே தோன்றுகிறது 
160,  இரண்டு ஆண்டுகள் முன்பு மயூரநாதன் மட்டும் தனியாக த.வி 
161,  இதைப் பற்றிய வரலாற்றுக் குறிப்புகள் கி.பி 
162,  ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ராஜன் ஜெயந்தி மற்றும் பலரும் நடித்துள்ளனர் 
163,  பொது ஊடகங்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
164,  ஆனால் இது முடிந்த கதை அல்ல 
165,  பழந்தமிழ் நூல்களில் நான்கு பெரும் பகுப்புக்கள் உள்ளன 
166,  விஜயன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் கே. ஆர். விஜயா மற்றும் பலரும் நடித்துள்ளனர் 
167,  வெளி நாடுகளிலும் இப்பொழுது இச்சொல் பயன்படுத்தப்படுகின்றது 
168,  அவைகளை நீங்கள் பார்க்க வேண்டும் என வேண்டுகிறேன் 
169,  நிச்சயமாக கி.மு மூன்றாம் நூற்றாண்டு முதல் கி.பி மூன்றாம் நூற்றாண்டு வரை 
170,  மாதவன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் சௌகார் ஞானகி மற்றும் பலரும் நடித்துள்ளனர் 
171,  ரவி ஒரு சில கட்டுரைகளில் த.வி 
172,  அவற்றையும் ஓரிடத்தில் தொகுத்து வைப்பது நல்லது எனத் தோன்றுகின்றது 
173,  இது பின்னர் உலகின் ஏனைய நாடுகளுக்கும் பரவியது 
174,  கண்ணன் பிள்ளை ஸ்ரீ கண்ணன் பிலிம்ஸ் 
175,  ஐரோப்பா மலேசியா சிங்கப்பூர் ஆகிய மூன்றும் தமிழர்கள் நிறைய வாழும் நாடுகள் 
176,  முத்துராமன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர் கமல்ஹாசன் மற்றும் பலரும் நடித்துள்ளனர் 
177,  கோபாலகிருஷ்ணன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர் ஜெயலலிதா மற்றும் பலரும் நடித்துள்ளனர் 
178,  பிரகாஷ் ராவ் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெமினி கணேசன் ராவ் மற்றும் பலரும் நடித்துள்ளனர் 
179,  டெரன்ஸ் இது வேறு ஊர் என்று நினைக்கிறேன் 
180,  பூமி என்பதை புவி என்று மாற்ற வேண்டுகிறேன் 
181,  ஆனால் இது முடிந்த முடிவு அல்ல 
182,  ஆகவே அன்று தொடங்கி இந்த முயற்சியில் ஈடுபட்டார் 
183,  ஆம் இதில் பல சிக்கல்கள் உள்ளன 
184,  ராஜேந்திரன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர் கே. ஆர். விஜயா மற்றும் பலரும் நடித்துள்ளனர் 
185,  பல புதிய பயனர்களின் வரவு நம்பிக்கை அளிக்கிறது 
186,  அப்பொழுது என்ன செய்வது ஒரு கட்டுரை மாற்றம் அடையும் பொழுது அம் மாற்றத்தை விக்கி வரலாற்றில் பதிவு செய்கின்றது 
187,  சீன மொழியிலும் அதே காரணத்தால் தான் சீன சொற்கள் உருவாக்கப்பட்டது 
188,  பாலு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கமல்ஹாசன் அசோகன் மற்றும் பலரும் நடித்துள்ளனர் 
189,  ராஜேந்திரன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் எஸ் 
190,  தற்கால வாழ்வியல் குறித்த கட்டுரையைத் தொடங்குங்கள் 
191,  யாழ்ப்பாண அரசின் இலங்கை ஆட்சி 
192,  எம். எஸ். சுப்புலட்சுமி கருநாடக இசைக் கலைஞர் 
193,  பௌத்த சின்னங்கள் குறித்த கட்டுரையைத் தொடங்குங்கள் 
194,  இப்போது எனது தனிப்பட்ட கருத்தில் ஓரளவு மாற்றம் வந்துள்ளது 
195,  குறிப்பாக ஐரோப்பாவில் ஒரு தமிழ் இலக்கிய புலம் உண்டு 
196,  கிருஷ்ணன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் டி 
197,  இதன் அடிப்படையில் பின்வரும் அட்டவணை ஏற்படுகிறது 
198,  முறையான அனுமதி பெற இது தேவை என இங்கே கூறப்பட்டுள்ளது 
199,  ஸ்ரீதர் ராவ் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஏ. நாகேஸ்வர ராவ் மற்றும் பலரும் நடித்துள்ளனர் 
200,  பாபநாசம் இந்தியாவின் தமிழ்நாடு மாநிலத்தில் தஞ்சாவூர் மாவட்டத்தில் உள்ள ஒரு ஊர் 
201,  புவி மணி நேரம் அல்லது புவி நேரம் என மாற்றலாம். சிவகுமார் 
202,  கனகு என் கேள்வி இவர் ஒருவர் குறித்து மட்டும் அல்ல 
203,  யாழ்ப்பாண பல்கலைக்கழகத்தில் கற்ற காலத்தில் கவிதை சிறுகதை நாடகம் கட்டுரை பேச்சு ஆகிய துறைகளில் ஈடுபட்டார் 
204,  இத் தலைப்பில் பின்வரும் கட்டுரைகள் உள்ளன 
205,  என் கருத்து என்னவென்றால் எல்லா நடிகர்கள் விளையாட்டு வீரர்கள் பற்றித் தனி கட்டுரைகள் இருக்க வேண்டியதில்லை 
206,  ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெமினி கணேசன் கே. ஆர். விஜயா மற்றும் பலரும் நடித்துள்ளனர்  
207,  இவை தவிர மேலும் சில படி நிலை நடவடிக்கைகள் எடுக்க முடியும் 
208,  கிருஷ்ணன் பஞ்சு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் விஜயகுமார் சுஜாதா மற்றும் பலரும் நடித்துள்ளனர் 
209,  அதாவது பொருள் நிறைந்த ஒரு தமிழ் சொல் 
210,  ஐக்கிய அமெரிக்காவின் ஐந்து மத்திய அட்லாண்டிக் மாநிலங்களுள் ஒன்று 
211,  பாலு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கமல்ஹாசன் ஸ்ரீதேவி மற்றும் பலரும் நடித்துள்ளனர் 
212,  அது போல் இக்கட்டுரையை மாற்றி எழுதலாம் 
213,  சென்னை நகரில் ஓடும் ஆறுகளில் ஒன்று 
214,  பௌத்த சின்னங்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
215,  எல்லோருக்கும் எல்லாம் கிடைக்கும் நிலை ஏற்பட்டது 
216,  விக்கிபீடியா பயனர்கள் பாலாஜி மற்றும் செல்வா உடைய ஆக்கத்தை அடிப்படையாகக் கொண்டது 
217,  தானியங்கி மூலம் ஒரே நேரத்தில் சில ஆயிரம் கட்டுரைகளை உருவாக்க முடியும் 
218,  ராஜேந்திரன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ராஜேந்திரன்  தங்கவேலு மற்றும் பலரும் நடித்துள்ளனர் 
219,  இந்த இயற்கை வாதம் ஏன் எம்.ஜி.ஆர் 
220,  இந்த ஊர் மிக பழமையான கிராமம் 
221,  ஆனால் அவை சைவ சமயத்தின் குறைபாடுகள் அல்ல 
222,  சூழல் என்ற சொல் ஈழத்தில் மிகவும் பரவலாகப் பயன்படுகிறது 
223,  ஆனாலும் இரண்டு நாடுகளுக்கும் இடையில் ஒலிப்பு முறையில் சிறு வேறுபாடுகள் காணப்படுகின்றன 
224,  கால் என்றாலும் வளி என்றாலும் ஒன்றே 
225,  கட்டுரைத் தலைப்புகளில் ஆங்கிலம் தவிர்ப்பது விக்கிபீடியா கொள்கை 
226,  தற்கால வாழ்வியல் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
227,  ஏனெனில் பொது ஆக்கம் என்பது பொதுவான ஆக்கம் என்று பொருள் படும் 
228,  இவர் கௌதம புத்தர் போதி நிலை அடைந்த போது இவர் அங்கு இருந்தார் 
229,  அது மிக நல்ல ஒரு முயற்சி 
230,  மற்றபடி அண்மையில் பல புதிய கட்டுரைகள் உருவாகி வருவதை கண்டு மகிழ்கிறேன் 
231,  சக்தி இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கமல்ஹாசன் ஸ்ரீதேவி மற்றும் பலரும் நடித்துள்ளனர் 
232,  கணிதத்தில் குலம் என்பது ஓர் இயற்கணித அமைப்பு 
233,  பிரகாஷ் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஆர் 
234,  எனக்கு ஞாபகம் உள்ளது இவ்வளவு தான் 
235,  ஐக்கிய இராச்சியத்தின் முன்னாள் பிரதமர் ஆவார் 
236,  சிவாஜி கணேசன் நரசிம்ம பாரதி கிரிஜா 
237,  நீரில் வாழும் பாலூட்டி இனத்தைச் சேர்ந்த ஒரு விலங்கு ஆகும் 
238,  சண்முகம் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ராஜன் மற்றும் பலரும் நடித்துள்ளனர் 
239,  மாநிலத்தில் அமைந்துள்ள நீலகிரி மாவட்டத்தில் இருக்கும் ஒரு ஊர் ஆகும் 
240,  வீர ராம தேவ ராயன் என்றும் அழைக்கப்பட்ட ராம தேவ ராயன் கி.பி 
241,  இங்கு உள்ள முக்கிய கோயில்கள் சில 
242,  உங்களின் ஈழ இலக்கிய அறிமுகம் எவ்வளவு என்று தெரியாது 
243,  நமக்கு கிடைக்கும் வானொலி மற்றும் தொலைக்காட்சி நிகழ்ச்சிகளை இந்த வானொலி அலைகள் தான் தாங்கி வருகின்றன 
244,  உலகின் மிகச் சிறிய நாடும் இதுவே 
245,  இங்கு எமக்கு இரண்டு நிலைகளில் புரிதல் தேவை 
246,  அது குறித்து தனிப்பட்ட அளவில் எனக்கு தெரியும் 
247,  கிருஷ்ணன் பஞ்சு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெமினி கணேசன் சௌகார் ஞானகி மற்றும் பலரும் நடித்துள்ளனர் 
248,  மேலும் உங்களைப் பற்றிய தகவல்களை உங்கள் பயனர் பக்கத்தில் தந்தால் உங்களைப் பற்றி அறிய வசதியாக இருக்கும். டெரன்ஸ் 
249,  இதுவே ஐரோப்பாவின் இரண்டாவது பொது நூலகம் ஆகும் 
250,  அது தனக்கு பிடித்த எழுத்துக்களை பகிர்ந்து கொள்ளும் ஒரு வசதி 
