text,label
"""தயவுசெய்து கதவைத் திறக்கவும்.""",imperative
"""ஒரு கப் கபூசினோ வேண்டும்.""",imperative
"""நீங்கள் முதலில் கையை கழுவி பின்னர் சாப்பிடுங்கள்.""",imperative
"""தயவுசெய்து புத்தகத்தை என்னிடம் கொண்டு வாருங்கள்.""",imperative
"""தயவுசெய்து என் நுணுக்கத்தை மன்னியுங்கள், ஆனால் நீங்கள் அதை தவறாக உச்சரித்திருக்கிறீர்கள்""",imperative
"""என்னை ஒருபோதும் நஷ்டம் என்று அழைக்க வேண்டாம்.""",imperative
"""அதை எடுப்பதற்கு முன் உங்கள் அடியைப் பாருங்கள்.""",imperative
"""தயவுசெய்து எனக்கு கடன் வழங்குங்கள்.""",imperative
"""வெஸ்டெரோஸ் ராஜா நீண்ட காலம் வாழட்டும்!""",exclamatory
"""வெஸ்டெரோஸ் ராஜா நீண்ட காலம் வாழ்க.""",exclamatory
"""உங்கள் பேரக்குழந்தைகளைப் பார்க்க நீங்கள் இருவரும் நீண்ட காலம் வாழட்டும்!""",exclamatory
"""கடவுள் நம் அனைவரையும் ஆசீர்வதிப்பாராக!""",exclamatory
"""அன்பை வாங்கும் அளவுக்கு நீங்கள் வெற்றிபெறட்டும்!""",exclamatory
"""இந்த சோகத்தில் சர்வவல்லவர் உதவட்டும்!""",exclamatory
"""நீங்கள் மிகவும் வெற்றிகரமான திருமண வாழ்க்கையை விரும்புகிறேன்!""",exclamatory
"""நீங்கள் ஒன்றாக மகிழ்ச்சியான பயணத்தை விரும்புகிறேன்!""",exclamatory
"""போட்டியில் உங்கள் அணி வெற்றி பெறட்டும்!""",exclamatory
"""ஏய்! எனது தொலைபேசியைத் தொடாதே.""",exclamatory
"""ஐயோ! அவளுடைய இறுதி சடங்கில் என்னால் இருக்க முடியவில்லை.""",exclamatory
"""ஹஷ்! உங்கள் தந்தை தூங்குகிறார்.""",exclamatory
"""என்ன ஒரு சலிப்பான நாள்!""",exclamatory
"""அவர் வாய் திறக்கும்போது அது எவ்வளவு அருவருப்பானது!""",exclamatory
"""உங்களிடம் எவ்வளவு நல்ல கார் இருக்கிறது!""",exclamatory
"""என்ன ஒரு சரிவு!""",exclamatory
"""உடை எவ்வளவு அழகாக இருக்கிறது!""",exclamatory
"""ஹர்ரே! நாங்கள் மியாமிக்குச் செல்கிறோம்.""",exclamatory
"""அத்தகைய காட்சியைக் காண நான் எவ்வளவு பாக்கியவான்கள்!""",exclamatory
"""இது எவ்வளவு அழகான நாடு!""",exclamatory
"""பிரஞ்சு மொழியில் அந்த பெண் எவ்வளவு சரளமாக பேசுகிறார்!""",exclamatory
"""என்ன ஒரு பரிதாபம்! நீங்கள் எங்களுடன் சேர முடியாது.""",exclamatory
"""அவர் வெளியேற வேண்டும் என்று நான் விரும்புகிறேன்!""",exclamatory
"""எனக்கு கச்சேரி டிக்கெட் கிடைத்தது!""",exclamatory
"""அச்சச்சோ! ஏன் என்னை கத்துகிறாய்?""",exclamatory
"""நான் இல்லை!""",exclamatory
"""பிறந்தநாள் வாழ்த்துக்கள், ஆமி!""",exclamatory
"""பிறந்தநாள் வாழ்த்துக்கள்!""",exclamatory
"""நன்றி, சிவா !""",exclamatory
"""நான் வெறுக்கிறேன்!""",exclamatory
"""ஐஸ்கிரீம் சண்டேஸ் எனக்கு மிகவும் பிடித்தவை!""",exclamatory
"""ஆஹா, நான் உன்னை மிகவும் நேசிக்கிறேன்!""",exclamatory
"""ஆஹா, நீங்கள் அழகாக இருக்கிறீர்கள்!""",exclamatory
"""அருமை, போகலாம்!""",exclamatory
"""என்ன ஒரு அழகான பூச்செண்டு!""",exclamatory
"""என்ன ஒரு அழகான நாய்க்குட்டி!""",exclamatory
"""என்ன ஒரு மகிழ்ச்சியான முடிவு!""",exclamatory
"""என்ன ஒரு அசிங்கமான பிழை!""",exclamatory
"""அவர்கள் சூரிய ஒளியில் எவ்வளவு பிரகாசமாக வளர்ந்திருக்கிறார்கள்!""",exclamatory
"""அவர் எவ்வளவு நன்றாகக் கேட்பார்!""",exclamatory
"""அவர்கள் எவ்வளவு மெதுவாக வலம் வருகிறார்கள்!""",exclamatory
"""நீங்கள் எவ்வளவு வேகமாக ஓடினீர்கள்!""",exclamatory
"""அந்த பிறந்த நாள் கேக் மிகவும் நன்றாக இருந்தது!""",exclamatory
"""சிவாவின் பரிசு மிகவும் ஆச்சரியமாக இருந்தது!""",exclamatory
"""யூ, அந்த பிழை மிகவும் அசிங்கமானது!""",exclamatory
"""எனக்கு இப்போது மிகவும் பைத்தியம்!""",exclamatory
"""அவர் ஒரு கனிவான ஆத்மா!""",exclamatory
"""அது போன்ற ஒரு அழகான மோதிரம்!""",exclamatory
"""உங்கள் நாய்க்குட்டி அத்தகைய அழகா!""",exclamatory
"""நீங்கள் அத்தகைய பொய்யர்!""",exclamatory

  யாழ்ப்பாணத்தில் இருந்து வெளிவரும் ஒரு உளவியல் சஞ்சிகை ,exclamatory
ஆனால் விக்கிபீடியா சற்று வேறுபட்ட கலைக்களஞ்சியம் ,declarative
